SLUG,PRODUCT,DESCRIPTION,SUPPLIER,STYLE,BLACK,WHITE,MONUMENT,CREAM,CUSTOM,POLISHED_STAINLESS_STEEL,SATIN_STAINLESS_STEEL,MATT_BLACK,PEARL_WHITE_GLOSS,SURFMIST_MATT,DUNE_SATIN,BASALT_SATIN,WOODLAND_GREY_MATT,MONUMENT_MATT,BLACK_SATIN,KWILA_TEXTURED,WESTERN_RED_CEDAR
panel_options+even+2400,Panel - STD,PoolSafe Panel Black 1200H x 2400W,JG,flat_top,FTP-P2400-B-JG,FTP-P2400-W-JG,FTP-P2400-M-JG,FTP-P2400-C-JG,OFF,,,,,,,,,,,,
panel_options+full+2400,Panel - STD,PoolSafe Panel Black 1200H x 2400W,JG,flat_top,FTP-P2400-B-JG,FTP-P2400-W-JG,FTP-P2400-M-JG,FTP-P2400-C-JG,OFF,,,,,,,,,,,,
panel_options+full+3000,Panel - 3m,PoolSafe Panel Black 1200H x 3000W,JG,flat_top,FTP-P3000-B-JG,FTP-P3000-CPC-JG,FTP-P3000-CPC-JG,FTP-P3000-CPC-JG,FTP-P3000-CPC-JG,,,,,,,,,,,,
left_raked_panel+1300x300,1300H - 300 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1300-B-JG,FTP-RP1300-CPC-JG,FTP-RP1300-CPC-JG,FTP-RP1300-CPC-JG,OFF,,,,,,,,,,,,
left_raked_panel+1400x400,1400H - 400 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1400-B-JG,FTP-RP1400-CPC-JG,FTP-RP1400-CPC-JG,FTP-RP1400-CPC-JG,OFF,,,,,,,,,,,,
left_raked_panel+1500x500,1500H - 500 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1500-B-JG,FTP-RP1500-CPC-JG,FTP-RP1500-CPC-JG,FTP-RP1500-CPC-JG,OFF,,,,,,,,,,,,
left_raked_panel+1600x600,1600H - 600 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1600-B-JG,FTP-RP1600-CPC-JG,FTP-RP1600-CPC-JG,FTP-RP1600-CPC-JG,OFF,,,,,,,,,,,,
left_raked_panel+1700x700,1700H - 700 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1700-B-JG,FTP-RP1700-CPC-JG,FTP-RP1700-CPC-JG,FTP-RP1700-CPC-JG,OFF,,,,,,,,,,,,
left_raked_panel+1800x600,1800H - 600 Step-Up,LEFT Raked Panels,JG,flat_top,FTP-RP1800-B-JG,FTP-RP1800-CPC-JG,FTP-RP1800-CPC-JG,FTP-RP1800-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1300x300,1300H - 300 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1300-B-JG,FTP-RP1300-CPC-JG,FTP-RP1300-CPC-JG,FTP-RP1300-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1400x400,1400H - 400 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1400-B-JG,FTP-RP1400-CPC-JG,FTP-RP1400-CPC-JG,FTP-RP1400-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1500x500,1500H - 500 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1500-B-JG,FTP-RP1500-CPC-JG,FTP-RP1500-CPC-JG,FTP-RP1500-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1600x600,1600H - 600 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1600-B-JG,FTP-RP1600-CPC-JG,FTP-RP1600-CPC-JG,FTP-RP1600-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1700x700,1700H - 700 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1700-B-JG,FTP-RP1700-CPC-JG,FTP-RP1700-CPC-JG,FTP-RP1700-CPC-JG,OFF,,,,,,,,,,,,
right_raked_panel+1800x600,1800H - 600 Step-Up,RIGHT Raked Panels,JG,flat_top,FTP-RP1800-B-JG,FTP-RP1800-CPC-JG,FTP-RP1800-CPC-JG,FTP-RP1800-CPC-JG,OFF,,,,,,,,,,,,
gate,Gate,PoolSafe Gate Black 1200H x 970W,JG,flat_top,FTP-G970-B-JG,FTP-G970-W-JG,FTP-G970-M-JG,FTP-G970-C-JG,OFF,,,,,,,,,,,,
gate+converter,Gate Converter,PoolSafe Gate-Converter Black 1200H,JG,flat_top,FTP-GC1200-B-JG,FTP-GC1200-W-JG,FTP-GC1200-M-JG,FTP-GC1200-C-JG,OFF,,,,,,,,,,,,
