ID,SKU,Name,Published,Images
211,ZF-SP-2400-1800,"Security Fencing - Panel 1800H x 2400W - Steel Spare Top Fence Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Fence-Panel-1800H-x-2400W-Spear-Top-Crimped-fencing-V2.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Sizing-2400W.jpg"
1442,ZF-BSEC-DELUXE-4PK,"4x Heavy Duty Security Fence Brackets",1,"https://fencesperth.com/wp-content/uploads/2023/03/Heavy-Duty-Security-Fence-Brackets-x4.jpg, https://fencesperth.com/wp-content/uploads/2023/03/HD-Security-Fencing-Brackets-Dimensions.jpg"
1611,ZAF-PG-0975-1800,"Security Fencing - Gate 1800H x 975W - Aluminium Spare Top Gate Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Gate-1800H-x-975W-Spear-Top-Crimped-Fencing.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Gate-Sizing-975W-V1.jpg"
1785,ZF-G-2450-1800,"Security Fencing - Gate 1800H x 2450W - Steel Spare Top Gate Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Gate-1800H-x-2450W-Spear-Top-Crimped-fencing.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Gate-Sizing-2450W.jpg"
1939,ZF-1800-GC-2PK,"Custom Gate Conversion Kit Suits 1800H Panels",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-1800H-Conversion-Kits.png, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Conversion-Kits.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Conversion-Kits-Steps.jpg"
3242,ZF-2100-GC-2PK,"Custom Gate Conversion Kit Suits 2100H Panels",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-2100H-Conversion-Kits.png, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Conversion-Kits.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Conversion-Kits-Steps.jpg"
3244,ZF-G-2450-2100,"Security Fencing - Gate 2100H x 2450W - Steel Spare Top Gate Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Gate-2100H-x-2450W-Spear-Top-Crimped-Fencing.png, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Gate-Sizing-2450W.jpg"
3248,ZF-PG-0975-2100,"Security Fencing - Gate 2100H x 975W - Steel Spare Top Gate Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/ZF-PG-0975-1800-gallery.png, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Gate-Sizing-975W-V1.jpg"
3546,ZF-2700-B,"Post – 65x65mm x 2700mm Galvanised Steel Base Plate Security Fencing Post – B",1,"https://fencesperth.com/wp-content/uploads/2023/03/65mm-Security-Fence-Post-2700mm-Long.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-65mm-Posts-x-2400mm.jpg"
3551,ZF-Combo-SGHL-LD,"Single Gate Kit - Light Duty",1,"https://fencesperth.com/wp-content/uploads/2023/03/Single-Gate-Kit-Light-Duty-2.jpg, https://fencesperth.com/wp-content/uploads/2023/03/D-Latch-Striker-BLACK-416x380-1.jpg, https://fencesperth.com/wp-content/uploads/2022/04/D-Latch-Striker-BLACK-416x380-1.webp, https://fencesperth.com/wp-content/uploads/2022/04/Fencing-Suppliers-D-Latch-Striker-BLACK-416x380-Details.jpg, https://fencesperth.com/wp-content/uploads/2022/04/Fencing-Suppliers-Perth-Standard-Hinge-V1.png"
3552,ZF-SECURESCREW-25PK,"25x Anti-Tamper Screws (Replace STD Tek Screws)",1,"https://fencesperth.com/wp-content/uploads/2023/03/Anti-Tamper-Screws-x25-Replace-STD-Screws.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Anti-Tamper-Drive-Bit-V1.png"
3553,ZF-SP-2400-2100,"Security Fencing - Panel 2100H x 2400W - Steel Spare Top Fence Black",1,"https://fencesperth.com/wp-content/uploads/2023/03/Security-Fence-Panel-1800H-x-2400W-Spear-Top-Crimped-fencing-V2.jpg, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-Panel-Sizing-2400W.jpg"
3583,ZF-BH4,"4x STD Security Fence Brackets + 10x Black Tek Screws",1,https://fencesperth.com/wp-content/uploads/2023/03/STD-Security-Fence-Brackets-x4-w-10x-Tek-Screws.jpg
3584,ZF-2400-B,"Post – 65x65mm x 2400mm Galvanised Steel Base Plate Security Fencing Post – B",1,"https://fencesperth.com/wp-content/uploads/2023/03/65mm-Post-2400mm-Long.png, https://fencesperth.com/wp-content/uploads/2023/03/Security-Fencing-65mm-Posts-x-2400mm.jpg"
3740,ZF-PENTAFORCE-BIT,"Anti-Tamper Drive Bit",1,https://fencesperth.com/wp-content/uploads/2023/03/Anti-Tamper-Drive-Bit-2.jpg
